timestamp,trial_number,val_loss,model.latent_dim,model.base_filters,model.attention.type,training.optimizer,training.scheduler,training.loss,training.learning_rate,training.weight_decay,loss_function.weights.gamma
20251112_151228,0,0.0006451366321925,69,60,multi_scale,adam,none,combined,0.0009330606024425,0.000314288089084,0.106169555339138
20251112_151228,1,6.572302467047002e-05,46,20,channel,adam,cosine,clinical,0.0006097839109531,3.972110727381911e-06,0.2571172192068058
20251112_151228,2,3.203063929464766e-05,109,17,multi_scale,adam,cosine,clinical,0.0002755195964951,2.323350351539012e-06,0.2475884550556351
20251112_151228,3,0.0001557779348585,34,57,channel,adam,cosine,mse,0.0007849235338159,6.218704727769077e-05,0.4609371175115584
20251112_151228,4,7.273270435520275e-05,38,20,lobe,adam,cosine,combined,0.0006341572775495,1.6736010167825795e-06,0.4934434683002586
20251112_151228,5,4.97753126198806e-05,159,21,channel,adam,cosine,clinical,0.0004200472316702,9.833181933644894e-06,0.0317791751430118
20251115_125045,7,0.0001289532278078,69,60,multi_scale,adam,none,combined,0.0009330606024425,0.000314288089084,0.106169555339138
20251115_125045,8,5.735961709793036e-05,46,20,channel,adam,cosine,clinical,0.0006097839109531,3.972110727381911e-06,0.2571172192068058
20251115_125045,9,2.408239284073017e-05,109,17,multi_scale,adam,cosine,clinical,0.0002755195964951,2.323350351539012e-06,0.2475884550556351
20251115_125045,10,0.0002520883191315,34,57,channel,adam,cosine,mse,0.0007849235338159,6.218704727769077e-05,0.4609371175115584
20251115_125045,11,6.454544226006303e-05,38,20,lobe,adam,cosine,combined,0.0006341572775495,1.6736010167825795e-06,0.4934434683002586
20251115_125045,12,9.914096100929297e-05,159,21,channel,adam,cosine,clinical,0.0004200472316702,9.833181933644894e-06,0.0317791751430118
20251115_125045,13,8.242156922659528e-05,60,25,lobe,adam,none,clinical,0.0003117422003004,3.69997243146381e-05,0.2137705091792748
20251115_125045,14,1.7470469228904877e-05,33,18,channel,adam,cosine,combined,0.0001193932872653,7.400385759087375e-06,0.0806106436270022
20251115_125045,15,7.843934124118045e-05,221,49,channel,adam,cosine,combined,0.0001288403584846,4.828424974818325e-06,0.2135538943131281
20251115_125045,16,0.0001032002916385,175,53,channel,adam,none,mse,0.0005046833287655,1.2327891605450794e-05,0.4858910413604803
20251115_125045,17,0.0001150584399764,93,35,multi_scale,adam,reduce_on_plateau,combined,0.0001093264383813,0.0007573772188483,0.0058130672371033
20251123_165841,19,0.0010098579381985,69,60,multi_scale,adam,none,combined,0.0009330606024425,0.000314288089084,0.106169555339138
20251123_165841,20,7.629033804288726e-05,46,20,channel,adam,cosine,clinical,0.0006097839109531,3.972110727381911e-06,0.2571172192068058
20251123_165841,21,4.018448468641086e-05,109,17,multi_scale,adam,cosine,clinical,0.0002755195964951,2.323350351539012e-06,0.2475884550556351
20251123_165841,22,0.00020718623522,34,57,channel,adam,cosine,mse,0.0007849235338159,6.218704727769077e-05,0.4609371175115584
20251123_165841,23,0.0001203963569614,38,20,lobe,adam,cosine,combined,0.0006341572775495,1.6736010167825795e-06,0.4934434683002586
20251201_065330,25,0.0002905828517594,69,60,multi_scale,adam,none,combined,0.0009330606024425,0.000314288089084,0.106169555339138
20251201_065330,26,0.0001118424627515,46,20,channel,adam,cosine,clinical,0.0006097839109531,3.972110727381911e-06,0.2571172192068058
20251201_065330,27,2.6622077982295216e-05,109,17,multi_scale,adam,cosine,clinical,0.0002755195964951,2.323350351539012e-06,0.2475884550556351
20251201_065330,28,8.577009991186483e-05,34,57,channel,adam,cosine,mse,0.0007849235338159,6.218704727769077e-05,0.4609371175115584
20251201_065330,29,3.303402619896884e-05,38,20,lobe,adam,cosine,combined,0.0006341572775495,1.6736010167825795e-06,0.4934434683002586
20251201_065330,30,4.214419240968202e-05,159,21,channel,adam,cosine,clinical,0.0004200472316702,9.833181933644894e-06,0.0317791751430118
20251201_065330,31,5.751970555265448e-05,60,25,lobe,adam,none,clinical,0.0003117422003004,3.69997243146381e-05,0.2137705091792748
20251201_065330,32,3.492301397442176e-05,33,18,channel,adam,cosine,combined,0.00011939328726535453,7.400385759087375e-06,0.08061064362700221
