timestamp,trial_number,val_loss,model.type,model.latent_dim,model.base_filters,hyperparameters.learning_rate,hyperparameters.batch_size,hyperparameters.weight_decay,training.optimizer,training.scheduler,preprocessing.normalize,preprocessing.use_tanh_output,hyperparameters.beta,model.in_channels
20250427_004257,1,0.1921039372682571,unet_ae,108,18,0.0003058656666978,16,8.61257919259488e-06,sgd,reduce_on_plateau,True,True,,1.0
20250427_004257,2,inf,unet_ae,86,18,0.0038842777547031,8,9.4525713910723e-06,rmsprop,none,True,True,,1.0
20250427_004257,3,0.0084012411534786,unet_ae,53,55,0.0004149795789891,16,4.828424974818325e-06,rmsprop,cosine_annealing,True,False,,1.0
20250427_004257,4,0.2589801847934723,unet_ae,205,46,5.163124910488014e-05,8,4.0487788181534125e-05,sgd,none,True,True,,1.0
20250427_004257,5,inf,unet_ae,83,44,0.0049128191795855,8,3.054120318443385e-06,adam,cosine_annealing,False,True,,1.0
20250427_004257,6,inf,unet_ae,54,43,6.955319544158292e-05,64,0.0007274208264938,adam,none,True,False,,1.0
20250427_004257,7,inf,unet_ae,402,32,0.0003195574037457,8,0.0004677524010176,sgd,reduce_on_plateau,True,True,,1.0
20250427_004257,8,inf,unet_ae,34,61,0.0032206264959931,8,5.632856590781124e-06,sgd,cosine_annealing,False,True,,1.0
20250427_004257,9,inf,unet_ae,343,40,3.081791700520561e-05,16,0.0006617450849063,rmsprop,none,False,True,,1.0
20250427_004257,10,0.9865854382514954,unet_ae,34,26,1.0535179945522733e-05,32,1.1379649946701928e-06,rmsprop,cosine_annealing,True,False,,1.0
20250427_004257,11,0.0086709354072809,unet_ae,170,17,0.0004991203654519,16,3.07697477916399e-05,rmsprop,reduce_on_plateau,True,False,,1.0
20250427_004257,12,0.0229072272777557,unet_ae,207,25,0.0005381316281506,16,4.746743333525444e-05,rmsprop,reduce_on_plateau,True,False,,1.0
20250427_004257,13,0.2278208881616592,unet_ae,176,16,0.0006549937128911,16,0.0001204735526269,rmsprop,cosine_annealing,True,False,,1.0
20250427_004257,14,0.0117061659693717,unet_ae,56,22,0.0001277939601765,16,2.1131705239519914e-05,rmsprop,reduce_on_plateau,True,False,,1.0
20250427_004257,15,inf,unet_ae,144,31,0.0015665495246383,32,0.000125494489827,rmsprop,cosine_annealing,True,False,,1.0
20250427_004257,16,0.1325644999742508,unet_ae,280,51,0.0001693456638783,64,1.6445931523926254e-06,adam,reduce_on_plateau,True,False,,1.0
20250427_004257,17,0.1863809674978256,unet_ae,55,36,0.0096866349008387,16,1.7087655511014014e-05,rmsprop,cosine_annealing,True,False,,1.0
20250427_004257,18,0.1263951361179351,unet_ae,137,22,0.0010023355243514,16,3.2218312880312363e-06,rmsprop,reduce_on_plateau,False,False,,1.0
20250427_004257,19,inf,unet_ae,272,53,0.0003423767693021,16,8.813439921520977e-05,rmsprop,cosine_annealing,True,False,,1.0
20250427_004938,0,0.0307717993855476,unet_ae,90,60,0.0015702970884055,8,0.0003967605077052,sgd,reduce_on_plateau,False,False,,1.0
20250427_004938,1,0.2346820831298828,unet_ae,74,18,0.0011290133559092,32,0.0005345166110646,sgd,cosine_annealing,True,True,,1.0
20250427_004938,2,0.1919250339269638,unet_ae,32,50,0.0013199942261535,16,2.226420430376969e-06,adam,none,True,True,,1.0
20250427_004938,3,0.2626959681510925,unet_ae,60,17,7.40038575908737e-05,16,0.0004115113049561,rmsprop,none,True,False,,1.0
20250427_004938,4,0.2070735991001129,unet_ae,70,16,0.0006740513796374,64,5.232216089948754e-06,rmsprop,none,False,False,,1.0
20250427_004938,5,0.2390456199645996,unet_ae,82,18,0.0059440281134109,8,4.630228617122102e-05,adam,cosine_annealing,False,False,,1.0
20250427_004938,6,0.2620939612388611,unet_ae,78,45,0.0008889937283707,8,1.2680822080429416e-05,rmsprop,cosine_annealing,True,True,,1.0
20250427_005646,0,inf,vae,49,17,0.0039676050770529,64,0.000314288089084,adam,cosine_annealing,False,False,0.5404103854647329,1.0
20250427_005646,1,inf,vae,134,34,3.585612610345396e-05,8,6.218704727769077e-05,adam,none,False,True,1.217284708112243,1.0
20250427_005646,2,0.2787436842918396,conv_autoencoder,118,18,0.0013795402040204,32,3.69997243146381e-05,adam,cosine_annealing,False,False,,1.0
20250427_005646,3,inf,resnet_ae,101,21,2.288738114460096e-05,16,0.0001285454996487,sgd,cosine_annealing,True,True,,1.0
20250427_005646,4,0.0195997320115566,conv_autoencoder,33,32,4.780654141328922e-05,32,0.0006459367085984,sgd,reduce_on_plateau,False,True,,1.0
20250427_005646,5,0.0084018763154745,conv_autoencoder,194,21,0.0013694231460024,32,0.0003529150925129,adam,reduce_on_plateau,True,True,,1.0
20250427_005646,6,0.2423863410949707,unet_ae,76,20,0.0004681702225035,8,6.998769331752381e-05,adam,reduce_on_plateau,True,False,,1.0
20250427_005646,7,0.1251118630170822,mlp_autoencoder,45,33,0.0020416470207182,16,3.927027067477075e-05,rmsprop,reduce_on_plateau,True,True,,1.0
20250427_005646,8,inf,vae,35,52,0.0012911407200549,32,3.308305521268992e-06,rmsprop,reduce_on_plateau,True,True,0.2117721540886052,1.0
20250427_005646,9,0.1404393166303634,conv_autoencoder,34,50,7.007519651093011e-05,64,0.0001604032381607,adam,none,True,True,,1.0
20250427_005646,10,0.0084012523293495,unet_ae,315,25,0.000231434494258,32,7.97433486827397e-06,sgd,reduce_on_plateau,True,False,,1.0
20250427_005646,11,0.0084012411534786,unet_ae,333,25,0.000239448362742,32,2.219484227521608e-06,sgd,reduce_on_plateau,True,False,,1.0
20250427_005646,12,0.0894948616623878,unet_ae,507,26,0.0002021760379251,32,3.1381149231882087e-06,sgd,reduce_on_plateau,True,False,,1.0
20250427_005646,13,0.1647614985704422,unet_ae,328,26,0.0001754850832199,32,1.0953114890618474e-06,sgd,reduce_on_plateau,True,False,,1.0
20250427_005646,14,0.0502211488783359,unet_ae,256,40,0.0005469645120502,32,1.2189031358695029e-05,sgd,none,True,False,,1.0
20250427_005646,15,0.0084013380110263,unet_ae,471,26,0.0095835928567923,32,1.1839521790889643e-05,sgd,reduce_on_plateau,True,False,,1.0
